country_name,region,country_code,indicator_name,indicator_code,sle_value
Afghanistan,Southern Asia,AFG,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.35507
Albania,Central and Eastern Europe,ALB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.97592
Argentina,Latin America and Caribbean,ARG,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.13616
Armenia,Central and Eastern Europe,ARM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.641860000000001
Australia,Australia and New Zealand,AUS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,15.95643
Austria,Western Europe,AUT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.91515
Burundi,Sub-Saharan Africa,BDI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.2713
Belgium,Western Europe,BEL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,15.63805
Benin,Sub-Saharan Africa,BEN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.01195
Burkina Faso,Sub-Saharan Africa,BFA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,7.965310000000001
Bulgaria,Central and Eastern Europe,BGR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.6939
Bahrain,Middle East and Northern Africa,BHR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.06702
Belarus,Central and Eastern Europe,BLR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.3404
Bolivia,Latin America and Caribbean,BOL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.37
Brazil,Latin America and Caribbean,BRA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.60363
Bhutan,Southern Asia,BTN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.22428
Canada,North America,CAN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.65205
Switzerland,Western Europe,CHE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.30778
Chile,Latin America and Caribbean,CHL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.06935
Cameroon,Sub-Saharan Africa,CMR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.23056
Colombia,Latin America and Caribbean,COL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.42221
Costa Rica,Latin America and Caribbean,CRI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.58345
Cyprus,Western Europe,CYP,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.901
Czech Republic,Central and Eastern Europe,CZE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.255479999999999
Germany,Western Europe,DEU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.80972
Djibouti,Sub-Saharan Africa,DJI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,6.78075
Denmark,Western Europe,DNK,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,14.879529999999999
Dominican Republic,Latin America and Caribbean,DOM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.50521
Ecuador,Latin America and Caribbean,ECU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.76422
Spain,Western Europe,ESP,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.59094
Estonia,Central and Eastern Europe,EST,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.31151
Ethiopia,Sub-Saharan Africa,ETH,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.205010000000001
Finland,Western Europe,FIN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,14.598189999999999
France,Western Europe,FRA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.36577
United Kingdom,Western Europe,GBR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,14.581470000000001
Georgia,Central and Eastern Europe,GEO,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.09145
Ghana,Sub-Saharan Africa,GHA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.77206
Greece,Western Europe,GRC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.08302
Guatemala,Latin America and Caribbean,GTM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.41088
Honduras,Latin America and Caribbean,HND,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.68234
Croatia,Central and Eastern Europe,HRV,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.0098
Hungary,Central and Eastern Europe,HUN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.196010000000001
Indonesia,Southeastern Asia,IDN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.567269999999999
India,Southern Asia,IND,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.590010000000001
Ireland,Western Europe,IRL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.91213
Iceland,Western Europe,ISL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,15.103810000000001
Israel,Middle East and Northern Africa,ISR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.593060000000001
Italy,Western Europe,ITA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.16206
Jamaica,Latin America and Caribbean,JAM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.5094
Kazakhstan,Central and Eastern Europe,KAZ,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.99107
Kuwait,Middle East and Northern Africa,KWT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.93656
Liberia,Sub-Saharan Africa,LBR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.15828
Lesotho,Sub-Saharan Africa,LSO,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.23804
Lithuania,Central and Eastern Europe,LTU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.58409
Luxembourg,Western Europe,LUX,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.04739
Latvia,Central and Eastern Europe,LVA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.46916
Moldova,Central and Eastern Europe,MDA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.66565
Madagascar,Sub-Saharan Africa,MDG,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.299669999999999
Mexico,Latin America and Caribbean,MEX,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.545160000000001
Mali,Sub-Saharan Africa,MLI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,7.02509
Malta,Western Europe,MLT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.849310000000001
Montenegro,Central and Eastern Europe,MNE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.28598
Mozambique,Sub-Saharan Africa,MOZ,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.54599
Mauritania,Sub-Saharan Africa,MRT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.701030000000001
Mauritius,Sub-Saharan Africa,MUS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.91348
Malawi,Sub-Saharan Africa,MWI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.59673
Malaysia,Southeastern Asia,MYS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.32502
Niger,Sub-Saharan Africa,NER,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,5.71955
Netherlands,Western Europe,NLD,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,14.10206
Norway,Western Europe,NOR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.8177
Nepal,Southern Asia,NPL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.90419
New Zealand,Australia and New Zealand,NZL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.88841
Oman,Middle East and Northern Africa,OMN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.58836
Pakistan,Southern Asia,PAK,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,7.119669999999999
Panama,Latin America and Caribbean,PAN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.34329
Peru,Latin America and Caribbean,PER,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.93061
Philippines,Southeastern Asia,PHL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.29605
Portugal,Western Europe,PRT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.433110000000001
Romania,Central and Eastern Europe,ROU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.90427
Rwanda,Sub-Saharan Africa,RWA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.63686
Saudi Arabia,Middle East and Northern Africa,SAU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.60624
Sudan,Sub-Saharan Africa,SDN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,6.763889999999999
Senegal,Sub-Saharan Africa,SEN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.73283
Sierra Leone,Sub-Saharan Africa,SLE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.82363
El Salvador,Latin America and Caribbean,SLV,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.67625
Serbia,Central and Eastern Europe,SRB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.80537
Suriname,Latin America and Caribbean,SUR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.501
Slovenia,Central and Eastern Europe,SVN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.559470000000001
Sweden,Western Europe,SWE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,15.13355
Chad,Sub-Saharan Africa,TCD,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,7.186789999999999
Thailand,Southeastern Asia,THA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.122620000000001
Tunisia,Middle East and Northern Africa,TUN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.047139999999999
Turkey,Middle East and Northern Africa,TUR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.41151
Tanzania,Sub-Saharan Africa,TZA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,7.560980000000001
Uruguay,Latin America and Caribbean,URY,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.359000000000002
United States,North America,USA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.869489999999999
Uzbekistan,Central and Eastern Europe,UZB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.34723
South Africa,Sub-Saharan Africa,ZAF,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.756039999999999
